gene,log2fc,pval,padj,direction,cell_type,score
RPS4Y1,-2.1907787,4.3013828577932345e-119,1.41313594377052e-116,down,Myofiber,-23.202448
COX6C,-1.8542695,3.4993300458599305e-117,1.126644301565063e-114,down,Myofiber,-23.01244
SERF2,-1.889726,4.4366432702616994e-117,1.4004133993073103e-114,down,Myofiber,-23.002144
MAP1B,-2.0728636,1.0201583815572493e-116,3.158174928136268e-114,down,Myofiber,-22.965984
UBB,-1.7140622,2.6567322633664465e-116,8.069448297296803e-114,down,Myofiber,-22.924349
LBH,-2.1603022,2.996729360473508e-116,8.933583193500468e-114,down,Myofiber,-22.919106
IGFBP7,-2.837337,3.2397109687757084e-116,9.482339486427518e-114,down,Myofiber,-22.91571
RPS27,-2.305727,3.259923049564468e-115,9.371114509265859e-113,down,Myofiber,-22.814928
UBL5,-1.8437309,7.495826748384313e-114,2.116979280622644e-111,down,Myofiber,-22.677357
MYLK,-2.136693,1.0351750781349136e-112,2.873146277209627e-110,down,Myofiber,-22.561514
RGCC,-2.6697,9.135970552747933e-112,2.492726338273496e-109,down,Myofiber,-22.464977
GPX3,-2.1200655,1.909907245529549e-110,5.1242811397557824e-108,down,Myofiber,-22.329515
COX7C,-1.790157,2.4416468605991666e-110,6.443546092118915e-108,down,Myofiber,-22.318535
C1QTNF1,-2.3269432,1.0321623406248897e-109,2.6799595740934642e-107,down,Myofiber,-22.253979
ITGA8,-2.5153787,8.565613428150324e-109,2.1887181740692686e-106,down,Myofiber,-22.158878
PTMS,-1.9726,8.875747143467877e-109,2.2325277736804037e-106,down,Myofiber,-22.157278
ATP5MK,-1.8093175,1.8007370063747773e-108,4.459732973634026e-106,down,Myofiber,-22.125391
MCAM,-2.0245998,1.2853864533681996e-107,3.135174413078981e-105,down,Myofiber,-22.03656
GUK1,-1.9644284,1.9195396836611082e-107,4.6120522130711206e-105,down,Myofiber,-22.018393
GSN,-1.9369606,1.9934046447782224e-107,4.7190923487705625e-105,down,Myofiber,-22.016682
RPS10,-1.9153379,6.449708014301014e-107,1.5047449219451844e-104,down,Myofiber,-21.963394
TACC1,-2.1126432,7.091540805632053e-106,1.630851769843783e-103,down,Myofiber,-21.854193
KCNAB1,-2.3967679,7.285508517497672e-106,1.651860790347571e-103,down,Myofiber,-21.852959
CFL1,-1.8376784,3.3006312553017856e-105,7.379661381645576e-103,down,Myofiber,-21.78386
COX5B,-1.7073201,8.072066668951616e-105,1.78005656488744e-102,down,Myofiber,-21.742853
EID1,-1.835501,1.3838566622140881e-104,3.010449263286809e-102,down,Myofiber,-21.7181
S100A6,-2.2883506,3.6694661910799066e-104,7.876142232533912e-102,down,Myofiber,-21.673246
PFN1,-1.8641905,1.775583525773167e-103,3.760966262881111e-101,down,Myofiber,-21.600533
IFITM3,-2.0452347,5.716392321644418e-103,1.1950971895302838e-100,down,Myofiber,-21.546452
SH3BGRL,-1.9478705,9.932817287727396e-103,2.049980675613277e-100,down,Myofiber,-21.52085
PHLDA2,-2.352524,1.5828773241530468e-101,3.2254631853437656e-99,down,Myofiber,-21.392096
MGP,-2.0235503,3.241571448541809e-101,6.522852147328255e-99,down,Myofiber,-21.358633
TTN,3.1170266,4.7135666660518967e-101,9.367777307420178e-99,up,Myofiber,21.341135
MT-ND4L,-2.131987,1.2702058471991125e-100,2.493630942464793e-98,down,Myofiber,-21.294735
MTHFD2,-1.8525063,1.9656044240301672e-100,3.812325303378028e-98,down,Myofiber,-21.274267
SRP14,-1.654894,1.001512359954742e-99,1.9193269012561239e-97,down,Myofiber,-21.19776
MT2A,-2.0094748,2.536420880181548e-99,4.80368274460736e-97,down,Myofiber,-21.153975
UQCR11,-1.830415,1.0206829725502983e-98,1.910576103734268e-96,down,Myofiber,-21.088202
C12orf57,-1.8032047,5.242325533872344e-98,9.700109936123792e-96,down,Myofiber,-21.010641
ACTG1,-1.764671,5.510418208550324e-98,1.0080308218323082e-95,down,Myofiber,-21.008272
SUMO2,-1.7536424,6.286252796761932e-98,1.1370348036210517e-95,down,Myofiber,-21.002014
GADD45B,-2.1724079,9.801539249934532e-98,1.75316865383829e-95,down,Myofiber,-20.980902
FHL5,-2.2859707,1.175373718849381e-97,2.079249024839268e-95,down,Myofiber,-20.972263
NDUFB8,-1.8693153,4.273552066790377e-97,7.477787083825162e-95,down,Myofiber,-20.91076
ZFP36,-1.8571362,1.0948502744594293e-96,1.8951505073384827e-94,down,Myofiber,-20.865828
SPARC,-1.9150023,1.988178071901716e-96,3.404860702284448e-94,down,Myofiber,-20.83728
CNN1,-2.0417542,2.1069925141559775e-96,3.570354262408729e-94,down,Myofiber,-20.834501
HSPA1A,-1.7611376,2.728987097854848e-96,4.576170239715348e-94,down,Myofiber,-20.822111
RPL36AL,-1.7223158,2.952897558094374e-96,4.900592256721982e-94,down,Myofiber,-20.81833
NDUFA11,-1.8834348,8.759836547138598e-96,1.4389372319983381e-93,down,Myofiber,-20.766153
ATP5ME,-1.6880172,3.758119326007497e-95,6.1109297888958274e-93,down,Myofiber,-20.696068
NDUFB7,-1.6903782,2.4044987544392346e-94,3.87076209489628e-92,down,Myofiber,-20.606403
MRPL33,-1.6380529,1.730314303262167e-93,2.7578811538529065e-91,down,Myofiber,-20.510632
CD9,-1.7744939,2.1435369406127616e-93,3.3830056539200226e-91,down,Myofiber,-20.500214
NDUFS5,-1.6522834,2.4951622870008016e-93,3.899720630693097e-91,down,Myofiber,-20.492819
ELOB,-1.7002221,4.425627656674433e-93,6.850360963187022e-91,down,Myofiber,-20.464903
VIM,-2.391645,5.025985856437645e-93,7.7055543158984e-91,down,Myofiber,-20.4587
DYNLT1,-1.6738812,8.10066806030036e-93,1.2302316456105203e-90,down,Myofiber,-20.435411
PPDPF,-1.7326143,3.219332618215491e-92,4.843440793274109e-90,down,Myofiber,-20.36794
ARPC1A,-1.8700265,5.717319199958436e-92,8.521981896382491e-90,down,Myofiber,-20.339792
CAVIN1,-1.8167149,2.1980719783257877e-91,3.2462901566136275e-89,down,Myofiber,-20.273634
HSPA1B,-1.788354,4.931535032397768e-91,7.217077359230842e-89,down,Myofiber,-20.233833
FAU,-1.9238234,1.0867612693198939e-90,1.5760975597758246e-88,down,Myofiber,-20.194841
NOTCH3,-1.81952,1.2837005709371467e-90,1.845090338477338e-88,down,Myofiber,-20.186613
RPL23,-1.7595042,4.092886684107226e-90,5.830733614226382e-88,down,Myofiber,-20.129232
CPE,-1.7403059,5.111995845120839e-90,7.218676238136427e-88,down,Myofiber,-20.11821
TMA7,-1.629128,6.39466435478457e-90,8.951417981158435e-88,down,Myofiber,-20.107107
RPL37A,-1.9875727,8.224124186275697e-90,1.1413099237126394e-87,down,Myofiber,-20.09462
FTH1,-2.1900938,3.93403563538965e-89,5.412829543461759e-87,down,Myofiber,-20.016771
MICOS10,-1.8084918,4.46758995452356e-89,6.09485280406104e-87,down,Myofiber,-20.010431
RPS26,-1.6691154,7.978645281899733e-89,1.079329678554806e-86,down,Myofiber,-19.981503
TPM1,-1.7954415,8.852483822255345e-89,1.1875607047555546e-86,down,Myofiber,-19.976313
PPP1R12A,-1.5606099,9.886590476360402e-89,1.3153250701524773e-86,down,Myofiber,-19.970797
RPS17,-1.7982813,1.3515219538565538e-88,1.783344296162525e-86,down,Myofiber,-19.955173
COX6B1,-1.5957853,2.810139659475511e-88,3.677855954328194e-86,down,Myofiber,-19.918549
H3-3B,-1.5911373,2.914993369978165e-88,3.7843196185410086e-86,down,Myofiber,-19.916716
DNAJB1,-1.993242,1.2546638745170312e-87,1.6158063241580135e-85,down,Myofiber,-19.84348
ACTN1,-1.833461,2.7642562843637802e-87,3.531666481403819e-85,down,Myofiber,-19.803734
ADIRF,-2.6820707,6.6463722160739865e-87,8.424669286169999e-85,down,Myofiber,-19.759497
TLN1,-1.8117197,7.4078901643255435e-87,9.316579364477544e-85,down,Myofiber,-19.75402
OST4,-1.6568485,1.9301041466712164e-86,2.4085904304738948e-84,down,Myofiber,-19.705608
MYADM,-2.205606,2.383327167564528e-86,2.95129236488106e-84,down,Myofiber,-19.69493
IGFBP5,-1.8776194,5.1196494827626606e-86,6.2913066697338425e-84,down,Myofiber,-19.656168
RPL28,-1.7298667,6.584685246512344e-85,8.030322961996644e-83,down,Myofiber,-19.526129
EPS8,-1.8754153,8.841652006216295e-85,1.0701722856847365e-82,down,Myofiber,-19.511068
