gene,log2fc,pval,padj,direction,cell_type,score
ADAM33,0.8969797,0.0030715131631820565,0.008738901200279493,up,fibroblast,0.8969797
HSPB8,0.89329934,0.01676405257425359,0.03743292691000571,up,fibroblast,0.89329934
GSTM5,0.89038444,2.347338794280484e-05,0.00011225004871517575,up,fibroblast,0.89038444
EGR1,0.8887284,4.158536294087483e-31,1.9874338038826431e-29,up,fibroblast,0.8887284
S100A4,0.88376725,2.4083049489141735e-137,3.2227134058053164e-134,up,fibroblast,0.88376725
CAVIN3,0.88119483,1.0495235765201751e-24,3.525784433422797e-23,up,fibroblast,0.88119483
RIC8A,0.87380934,0.017108086411730488,0.038007976148252375,up,fibroblast,0.87380934
SERTAD3,0.8687818,0.0025889416171812484,0.007529699836612519,up,fibroblast,0.8687818
PKM,0.86570144,7.460311775432158e-30,3.327713513608044e-28,up,fibroblast,0.86570144
VASN,0.86497927,0.0020289000321666874,0.006087458280368586,up,fibroblast,0.86497927
CES1,0.85010993,5.877703168980502e-06,3.139858865185925e-05,up,fibroblast,0.85010993
SLC35B2,0.84990764,0.020353889001518084,0.04427563662779428,up,fibroblast,0.84990764
ADK,0.84884393,0.003922399901259475,0.010833487721779266,up,fibroblast,0.84884393
TMEM176B,0.84438527,2.558813792276247e-25,9.010840323765784e-24,up,fibroblast,0.84438527
KLF4,0.84242576,6.834148444555105e-11,7.405044245793918e-10,up,fibroblast,0.84242576
SLC2A3,0.82448244,2.075208704170312e-13,2.970026860210951e-12,up,fibroblast,0.82448244
JUNB,0.8237457,3.645559245356049e-72,8.86975611544355e-70,up,fibroblast,0.8237457
CD34,0.8175842,5.449201698422248e-12,6.762231906743776e-11,up,fibroblast,0.8175842
CARD19,0.81178355,0.004350190486117541,0.011847923817176979,up,fibroblast,0.81178355
FKBP9,0.8007897,0.00018987644331651418,0.000739339458481228,up,fibroblast,0.8007897
FOS,0.7936012,7.1654026816290185e-56,9.279196472709579e-54,up,fibroblast,0.7936012
EPHX1,0.79303735,1.5073096324060285e-46,1.4580950648901207e-44,up,fibroblast,0.79303735
CAPN2,0.7918987,8.04503020623949e-09,6.679787748283026e-08,up,fibroblast,0.7918987
KIF5C,-4.241661,1.8077812562030876e-11,2.1066292751893456e-10,down,fibroblast,-4.241661
KCNB1,-4.232508,9.497518974274118e-21,2.467818117943265e-19,down,fibroblast,-4.232508
TPM3,-3.6218843,1.5684728620361308e-39,1.1243989829721512e-37,down,fibroblast,-3.6218843
PLCG2,-3.602642,1.0427450480644801e-12,1.4070924354470103e-11,down,fibroblast,-3.602642
LONRF2,-3.538993,3.7803968246656346e-18,8.384753067745962e-17,down,fibroblast,-3.538993
MMP3,-3.5147288,2.328698351827038e-08,1.8148171197583582e-07,down,fibroblast,-3.5147288
